# Created on 2026-03-12 15:56:59.857791+01:00 (1773327419.857791 s)
# baldaquin version: 0.10.0
# Creator: Pendulum View
# Pin number, Time [s], Position [a. u.]
5, 32.442, 581
4, 32.468, 466
5, 32.493, 585
4, 32.518, 468
5, 32.543, 587
4, 32.569, 469
5, 32.595, 587
4, 32.619, 470
5, 32.645, 585
4, 32.670, 466
5, 32.696, 581
4, 32.721, 462
5, 32.746, 575
4, 32.772, 458
5, 32.797, 568
4, 32.822, 451
5, 32.848, 561
4, 32.873, 445
5, 32.899, 554
4, 32.923, 438
5, 32.949, 546
4, 32.975, 431
5, 33.000, 537
4, 33.025, 423
5, 33.050, 530
4, 33.076, 418
5, 33.102, 524
4, 33.126, 413
5, 33.152, 520
4, 33.177, 409
5, 33.203, 517
4, 33.227, 407
5, 33.253, 515
4, 33.279, 406
5, 33.304, 516
4, 33.329, 407
5, 33.354, 518
4, 33.380, 409
5, 33.406, 522
4, 33.430, 413
5, 33.456, 528
4, 33.481, 418
5, 33.507, 534
4, 33.532, 424
5, 33.557, 542
4, 33.583, 430
5, 33.608, 550
4, 33.634, 437
5, 33.659, 557
4, 33.684, 444
5, 33.710, 565
4, 33.735, 452
5, 33.760, 571
4, 33.786, 457
5, 33.811, 578
4, 33.837, 462
5, 33.861, 582
4, 33.887, 466
5, 33.913, 585
4, 33.938, 469
5, 33.963, 585
4, 33.988, 470
